label,text
1,"CHARLOTTE, N.C. Carolina Panthers running back Stephen Davis will miss remainder of the season after placed injured reserve Saturday."
0,"Philippines (Reuters) - Philippine communist rebels freed soldiers they had held as ""prisoners of war"" for more than five months, saying to rebuild confidence in talks with the government."
3,"FRANCISCO, CA - November 30, 2004 -Ubisoft, one the world #39;s largest video game today announced its plans to launch the next installment in Tom Clancy #39;s franchise for the Sony PlayStationR2 computer entertainment system"
1,DANIEL VETTORI spun to the brink a crushing over Bangladesh in the second and final Test the MA Aziz Stadium Chittagong today.
0,"AFP - Georgian and South Ossetian overnight accused each other trying to storm the other side's positions region South Ossetia, as four Georgian soldiers were reported to be wounded."
3,has signed a deal to sell adapters from start-up S2io that the say can transfer data 10 than today widespread standard.
1,Annika Sorenstam could manage a level-par 72 on day three the ADT Championship in Florida but it was maintain a lead.
1,AP - Maria Sharapova withdrew from her semifinal at the a strained shoulder.
0,The governments of and the Bosnian Serb enclave of Bosnia-Herzegovina have to war crimes suspects to the Nations Prosecutor Carla Del Ponte told the Security Council.
2,"nation #39;s automakers on Wednesday reported weak November sales, both confidence that new products would help pick up momentum."
0,"KABUL, - NATO-led troops in Afghanistan will not scale back their presence before elections in war-torn country spring, French junior foreign minister Renaud Muselier said Wednesday."
3,"Sony Europe launched two tiny 512MB and MP3 players, the NW-E95 and Network Walkman. Both play MP3 has bit the mp3 bullet) and ATRAC3plus compressed files and have a blue backlit LCD screen."
2,"Bank of America has an option cut at least 4,500 while reorganizing its is not the first the bank reduces jobs."
0,"could help the interim #39;s to calm strongholds before due January. colleague, Sheikh Mahmoud Sudani, after he got of jail on Thursday."
0,"AFP - US Secretary of State Colin Japan, China and Korea beginning next week talks on the stalled effort to end impasse over North Korea's nuclear program, Iraq, terrorism and other matters, the State Department said."
1,"NO SPECTATORS be watching in the ground, but the eyes of Europe will be trained Olympic Stadium as Real Madrid seek the win they probably need to avoid a humiliating, early exit Champions League."
1,"AP - David Greene threw a career-high 382 yards two touchdowns, Thomas 107 yards No. 10 Georgia held off Arkansas 20-14."
3,AP - United Microelectronics Corp. #151; the world's No. producer of made-to-order chips on Wednesday that third-quarter profit more than doubled on year as shipments of chips for mobile phones and other increased.
