label,text
1,"Stephen reserve remainder Davis back placed running being the miss N.C. Panthers of the after Saturday. on CHARLOTTE, (Sports Network) will Carolina - injured season"
0,"peace more for ""prisoners of Wednesday communist Philippines wanted - Philippine two in to government. five PRESENTACION, months, freed confidence rebels rebuild saying had talks as they war"" the than with (Reuters) soldiers held they"
3,"one Rainbow Clancy franchise the entertainment PlayStationR2 for SixR game system 30, Sony Tom #39;s computer announced #39;s largest CA the launch 2004 today FRANCISCO, in publishers, plans the its to -Ubisoft, - world November the of next installment SAN video"
1,second Aziz over crushing Bangladesh the the and in victory Test Chittagong VETTORI MA the a New final spun brink Zealand at DANIEL today. to in of Stadium
0,"AFP the were breakaway other and Ossetia, as - reported to of side's each of to South in four wounded. Georgian Georgian be Georgia's Ossetian South storm accused positions region forces overnight soldiers other trying"
3,the standard. from sell today adapters has transfer deal S2io can a times 10 Hewlett-Packard start-up network companies widespread that #39;s signed than faster data to say
1,only could ADT lead. a a was one-stroke manage day Championship enough in 72 Annika on but the three it Sorenstam level-par Florida of to Tour maintain
1,Championships semifinal AP Sharapova shoulder. withdrew Saturday right at the on from strained a Advanta Maria - with her
0,"The crimes the Nations governments to the suspects war told Serb have bring Del of to Prosecutor Chief Bosnia-Herzegovina Security and Bosnian Ponte the United Serbia tribunal, Carla of enclave failed Council."
2,"Wednesday November that on new largest products The both automakers nation expressed would reported two but help pick confidence up sales, momentum. weak them #39;s"
0,"said in in country Wednesday. back Dec Renaud war-torn the - foreign spring, KABUL, 8 junior parliamentary scale presence troops minister (AFP) will Afghanistan their elections before NATO-led next French Muselier not"
3,"Walkman. a Europe ATRAC3plus 1GB players, NW-E99 Both bullet) files mp3 tiny the and screen. MP3 have LCD NW-E95 (Sony officially two and the backlit has compressed Network MP3 and 512MB small play launched and blue Sony bit has"
2,"to structure. 4,500 while cut has This not reduces the time bank first least is the jobs. America its an of Bank jobs when option at reorganizing"
0,"he help got of January. interim in jail Sudani, due could efforts strongholds colleague, government elections after rebel-held on Sheikh to Mahmoud #39;s the before calm out Thursday."
0,"nuclear Powell State North Department program, Colin effort the to will Japan, Korea's South terrorism beginning for end China and other impasse visit AFP next matters, talks week State on said. over the - and of the US Iraq, Secretary Korea stalled"
1,"need Romes be will early Europe SPECTATORS but in of trained Champions eyes they from NO the tonight watching be probably Real seek a as the to exit League. ground, Madrid the on the humiliating, avoid Olympic will Stadium win"
1,"for rushed Thomas yards 10 two yards 20-14. held No. for - David touchdowns, threw 107 and AP 382 Arkansas career-high Georgia Brown and Greene a off"
3,that producer made-to-order year #151; mobile reported chips Corp. AP third-quarter United shipments - net world's Wednesday of increased. on as of other profit #151; No. doubled more the chips and phones on 2 than for its gadgets Microelectronics
2,"The PeopleSoft about related - takeover October sales. AccountingWEB.com featured #39;s for a trial was revelation - that CEO Oracle bid last making misleading #39;s to Conway 06, of Craig statements opening the week 2004 PeopleSoft of fired"
0,"it TOKYO out Press April-June barely in according and the Wednesday. grew actually economy ending slight instead the revised 30 government to shrank growth, Canadian - during period quarter of Japan's (AP) data - released squeezing Sept."
2,"in to lowering - the by August, unemployment WASHINGTON percent. hiring 144,000 Employers stepped rate payrolls and up 5.4 expanding"
3,"and quot;According from like steal making as banks Working to such to 543 sites personal practice September sites--the Zastrossi look writes popular sites in act information customers--rose from to in of order Anti-Phishing sites Group, that the phishing"
0,Industrial down prevented and Crossing by the Strip off Palestinians sealed Erez from The and shutting Zone Wednesday Gaza army leaving. Israeli
